"ID","montant"
1,681.66
2,721.07
3,616.45
4,556.79
5,717.41
6,619.74
7,682.07
8,587.95
9,688.61
10,612.82
11,679.12
12,600.22
13,729.34
14,732.97
15,636.13
16,708.26
17,634.92
18,618.85
19,673.24
20,642.27
21,670.22
22,719.61
23,713
24,591.29
25,558.21
26,600.09
27,673.05
28,573.9
29,626.42
30,630.24
31,740.7
32,614.64
33,763.7
34,641.71
35,603.36
36,588.69
37,577.34
38,666.15
39,630.99
40,762.16
41,601.65
42,485.47
43,573.46
44,597
45,710.47
46,676.65
47,761.38
48,708.14
49,726.24
50,552.27
51,556.58
52,677.76
53,566.92
54,622.66
55,666.68
56,629
57,721.47
58,609.64
59,628.65
60,688.79
61,773.57
62,532.19
63,606.38
64,614.58
65,660.88
66,679.61
67,561.74
68,686.06
69,528.83
70,617.16
71,605.74
72,642.54
73,703.86
74,726.66
75,742.33
76,649.92
77,558.06
78,626.85
79,611.44
80,592.4
81,687.97
82,680.01
83,628.87
84,676.7
85,650
86,752.15
87,688.59
88,776.16
89,595.34
90,572.42
91,663.93
92,599.98
93,604.99
94,695.28
95,626.11
96,723.73
97,706.48
98,586.21
99,676.68
100,656.83
101,564.52
102,537.78
103,658.44
104,660.97
105,622.66
106,621.37
107,646.92
108,621.85
109,658.7
110,584.19
111,528.54
112,623.65
113,678.75
114,736.07
115,681.64
116,739.47
117,623.42
118,625.26
119,591.91
120,600.34
121,622.81
122,671.88
123,585.9
124,608.24
125,742.88
126,674.32
127,698.49
128,721.64
129,674.19
130,615.02
131,634.63
132,683.12
133,760.15
134,754.12
135,704.89
136,609.25
137,576.98
138,634.15
139,681.65
140,721.18
141,682.12
142,516.98
143,628.71
144,651.2
145,724.32
146,625.08
147,645.24
148,614.32
149,704.51
150,738.73
151,609.82
152,654.12
153,689.95
154,744.63
155,590.54
156,700.39
157,615.35
158,644.49
159,655.57
160,551.49
161,607.9
162,627.01
163,601.54
164,723.05
165,636.81
166,624.87
167,606.01
168,590.08
169,752.92
170,638.49
171,660.59
172,607.4
173,647.14
174,673.09
175,577.81
176,587.1
177,718.34
178,598.43
179,710.61
180,626.93
181,565.6
182,771.42
183,546.9
184,730.12
185,655.48
186,697.31
187,597.38
188,596.46
189,702.42
190,752.64
191,710.06
192,750.39
193,539.07
194,693.3
195,613.99
196,648.49
197,607.51
198,598.29
199,595.67
200,796.29
201,654.27
202,644.31
203,565.81
204,614.8
205,757.41
206,641.42
207,698.14
208,717.04
209,614.58
210,713.83
211,559.04
212,563.98
213,644.03
214,599.19
215,742.38
216,623.84
217,669.64
218,636.67
219,756.47
220,706.92
221,665.02
222,673.03
223,739.5
224,689.28
225,593.88
226,672.01
227,759.34
228,769.66
229,626.24
230,576
231,729.26
232,626.16
233,610.76
234,634.96
235,720.44
236,661.35
237,615.6
238,602.9
239,660.14
240,767.52
241,609.74
242,665.32
243,511
244,633.26
245,578.23
246,735.07
247,678.86
248,683.52
249,592.79
250,788.83
251,771.31
252,635.58
253,633.48
254,736.45
255,675.89
256,550.92
257,608.41
258,640.39
259,728.12
260,633.78
261,584.1
262,614.11
263,621.28
264,554.87
265,711.5
266,626.66
267,571.18
268,589.26
269,680.42
270,686.99
271,691.06
272,733.11
273,631.92
274,685.62
275,638.31
276,655.3
277,671.71
278,717.39
279,789.38
280,731.89
281,692.33
282,610.74
283,609.24
284,633.37
285,578.42
286,610.08
287,571.12
288,657.78
289,629.05
290,602.91
291,674.36
292,623.73
293,776.86
294,566.41
295,579.34
296,664.24
297,624.98
298,692.61
299,729.44
300,708.82
301,553.94
302,634.13
303,648.84
304,676.43
305,664.14
306,657.42
307,723.34
308,600.56
309,604.89
310,791.41
311,608.23
312,719.79
313,714.98
314,568.86
315,615.01
316,662.75
317,689.28
318,679.04
319,588.68
320,685.15
321,598.1
322,578.33
323,688.09
324,754.58
325,618.17
326,598.55
327,579.62
328,728.51
329,639.85
330,634.32
331,625.92
332,582.85
333,612.38
334,624.18
335,671.68
336,579.99
337,683.41
338,729.03
339,674.38
340,546.94
341,721.64
342,690.12
343,562.16
344,575.24
345,531.93
346,582.29
347,696.47
348,772.05
349,555.72
350,684.72
351,614.03
352,595.99
353,624.3
354,608.63
355,675.53
356,636.27
357,632.47
358,596.24
359,650.03
360,758.52
361,662.63
362,552.99
363,631.36
364,622.36
365,677.02
366,627.61
367,736.07
368,650.86
369,668.95
370,708.05
371,588.08
372,636.43
373,657.79
374,521.91
375,719.55
376,713.56
377,654.93
378,680.62
379,652.4
380,640.41
381,613.44
382,698.49
383,690.55
384,620.38
385,696
386,600.17
387,635.02
388,755.98
389,598.8
390,563.93
391,635.06
392,604.83
393,692.85
394,761.48
395,590.13
396,471.71
397,809.95
398,707.81
399,575.85
400,661.42
401,613.36
402,716.84
403,614.51
404,570.14
405,618.04
406,756.03
407,611.89
408,533.64
409,652.51
410,601.72
411,588.22
412,671.5
413,658.49
414,587.76
415,606.47
416,686.1
417,651.98
418,691.47
419,601.04
420,588.58
421,682.65
422,613.62
423,615.13
424,618.21
425,670.04
426,646.44
427,651.78
428,700.65
429,689.09
430,545.16
431,668.72
432,606.47
433,589.23
434,625.1
435,608.94
436,554
437,710.87
438,644.7
439,769.96
440,753.58
441,717.7
442,680.15
443,674.62
444,646.56
445,603.38
446,624.36
447,756.93
448,681.25
449,596.82
450,673.08
451,734.21
452,618.3
453,633.33
454,588.48
455,613.04
456,631.83
457,625.35
458,696.86
459,647.58
460,643.37
461,641.12
462,631.92
463,630.3
464,734.69
465,589.72
466,819.56
467,683.87
468,610.29
469,680.22
470,607.09
471,677.92
472,751.87
473,557.9
474,775.05
475,620.39
476,688.67
477,631.06
478,677.5
479,591.79
480,645.98
481,668.05
482,557.87
483,748.24
484,700.25
485,643.51
486,646.1
487,603.44
488,583.14
489,626.5
490,578.04
491,583.62
492,645.71
493,736.13
494,565.26
495,680.29
496,658.61
497,667.06
498,639.83
499,681.74
500,645.47
501,633.97
502,581.8
503,622.38
504,643.88
505,737.25
506,641.74
507,504.3
508,659.87
509,709.5
510,776.37
511,679.1
512,544.3
513,624.39
514,715.39
515,641.47
516,679.02
517,611.23
518,545.08
519,554.16
520,675.59
521,490.91
522,586.69
523,735.76
524,637.09
525,700.73
526,636.7
527,659.24
528,611.37
529,583.73
530,514.37
531,634.34
532,685.37
533,709.2
534,636.4
535,677.66
536,692.85
537,674.8
538,697.8
539,539.53
540,611.84
541,610.84
542,598.9
543,622.87
544,702.63
545,633.26
546,613.21
547,567.28
548,679.98
549,596.38
550,646.23
551,611.41
552,668.86
553,749.75
554,717.05
555,711.57
556,710.67
557,640.65
558,603.59
559,657.73
560,685.06
561,633.79
562,612.65
563,646.5
564,623.85
565,636.37
566,612.49
567,593.92
568,673.59
569,650.79
570,545.18
571,641.03
572,540.69
573,679.83
574,663.7
575,680.93
576,683.07
577,521.58
578,774.53
579,688.24
580,772.27
581,715.25
582,679.87
583,588.05
584,619.63
585,599.87
586,763.21
587,569.55
588,699.52
589,744.45
590,533.52
591,656.31
592,519.3
593,608.07
594,627.69
595,535.48
596,670.9
597,594.87
598,777.28
599,635.83
600,655.48
601,665.94
602,742.27
603,564.47
604,613.86
605,641.85
606,704.01
607,560.21
608,592.46
609,657.34
610,695.87
611,594.72
612,645.18
613,600.04
614,637.3
615,646.58
616,552.98
617,660.9
618,604.12
619,698.61
620,634.54
621,623.6
622,694.85
623,620.31
624,605.53
625,666.2
626,600.11
627,679
628,680.34
629,701.84
630,725.99
631,713.31
632,645.37
633,694.41
634,644.35
635,590.1
636,583.59
637,654.73
638,597.74
639,506.05
640,630.09
641,540.71
642,648.09
643,693.23
644,682.2
645,616.95
646,559.24
647,648.75
648,638.8
649,658.41
650,633.28
651,605.92
652,654.78
653,656.46
654,573.38
655,604.17
656,754.96
657,710.78
658,655.4
659,637.39
660,692.6
661,712.45
662,617.32
663,726.1
664,700.32
665,713.91
666,661.42
667,567.11
668,619.14
669,700.75
670,699.19
671,628.5
672,793.29
673,646.91
674,651.34
675,696.99
676,740.13
677,695.89
678,720.96
679,639.29
680,676.1
681,726.84
682,624.87
683,653.16
684,662.22
685,695.61
686,659.72
687,638.48
688,595.55
689,692.41
690,669.85
691,721.09
692,623.32
693,532.6
694,677.17
695,709.85
696,677.07
697,535.04
698,604.23
699,767.73
700,705.34
701,674.2
702,759.81
703,733.82
704,667.92
705,655.44
706,714.1
707,644.88
708,594.28
709,639.4
710,693.26
711,579.93
712,728.96
713,702.24
714,660.46
715,682.7
716,665.4
717,703.18
718,673.04
719,754.66
720,652.26
721,597.8
722,703.78
723,664.31
724,650.56
725,573.49
726,617.6
727,661.06
728,629.84
729,656.34
730,719.64
731,674.3
732,632.07
733,600.69
734,564.03
735,597.05
736,687.27
737,659.37
738,685.86
739,591.12
740,718.89
741,794.38
742,688.57
743,573.58
744,609.44
745,664.46
746,661.95
747,688.09
748,699.32
749,694.13
750,638.65
751,711.62
752,782.41
753,595.94
754,667.93
755,587.28
756,656.08
757,648.57
758,678.58
759,688.64
760,700.65
761,722.93
762,657.32
763,632.88
764,531.89
765,602.27
766,743.47
767,687.55
768,633.24
769,654.93
770,806.58
771,684.74
772,735.57
773,708.85
774,672.34
775,587.9
776,571.72
777,633.61
778,636.89
779,571.76
780,643.1
781,646.78
782,671.18
783,806.44
784,723.29
785,456.71
786,705.66
787,736.95
788,758.62
789,780.51
790,663.72
791,655.34
792,597.15
793,592.57
794,706.79
795,690.13
796,679.34
797,704.62
798,601.63
799,607.17
800,678.31
801,664.04
802,654.84
803,672.11
804,793.43
805,659.19
806,594.26
807,710.02
808,540.48
809,688.19
810,662.1
811,592.92
812,613.54
813,731.57
814,712.59
815,676.95
816,627.3
817,637.77
818,603.16
819,733.31
820,686.92
821,536.64
822,596.19
823,707.2
824,653.18
825,583.5
826,620.59
827,597.98
828,614.79
829,660.26
830,711.52
831,715.27
832,577.07
833,671.8
834,646.12
835,673.2
836,617.58
837,662.36
838,628.68
839,817.23
840,748.55
841,583.76
842,637.75
843,693.55
844,612.87
845,485.28
846,626.07
847,522.28
848,625.26
849,627.95
850,713.4
851,673.23
852,629.77
853,714.12
854,657.42
855,756.81
856,672.62
857,626.4
858,670.19
859,663.29
860,591.95
861,536.51
862,582.57
863,723.18
864,551.5
865,633.31
866,715.21
867,624.31
868,664.72
869,642.02
870,693.63
871,650.87
872,712.48
873,631.34
874,675.16
875,604.38
876,652.43
877,535.44
878,615.43
879,744.46
880,536.9
881,676.94
882,648.18
883,607.74
884,737.68
885,637.65
886,696.41
887,692.68
888,591.87
889,712.25
890,633.75
891,670.4
892,582
893,638.39
894,573.91
895,740.19
896,680.99
897,611.17
898,743.05
899,561.21
900,516.34
901,605.44
902,677.67
903,699.44
904,576.71
905,629.54
906,708.74
907,674.3
908,725.86
909,662.19
910,633.78
911,691.81
912,690.09
913,793.22
914,651.12
915,681.34
916,657.04
917,797.28
918,679.6
919,681
920,659.02
921,609.5
922,639.14
923,725.84
924,648.33
925,561.68
926,715.29
927,602.31
928,669.84
929,628.22
930,729.87
931,698.15
932,650.96
933,502.91
934,658.06
935,688.77
936,560
937,743.94
938,677.18
939,607.9
940,661.43
941,549.1
942,609.48
943,711.2
944,693.23
945,709.77
946,715.4
947,565.23
948,570.75
949,698.7
950,619.9
951,616.8
952,608.76
953,666.79
954,629.12
955,572.67
956,669.96
957,628.67
958,719.48
959,616.03
960,635.77
961,621.76
962,551.18
963,598.41
964,675.32
965,713.9
966,692.58
967,743.01
968,681.5
969,674.66
970,673.83
971,624.52
972,720.04
973,671.78
974,735.85
975,576.81
976,635.38
977,582.59
978,695.13
979,778.95
980,544.14
981,627.53
982,637.84
983,658.71
984,737.14
985,630.16
986,687.33
987,674.99
988,666.62
989,746.04
990,628.36
991,739.68
992,646.92
993,584.12
994,679.56
995,563.97
996,616.38
997,602.57
998,747.97
999,619.18
1000,630.32
1001,581.68
1002,644.01
1003,707.1
1004,746.5
1005,604.96
1006,639.34
1007,613.52
1008,686.24
1009,678.68
1010,705.75
1011,648.79
1012,679.79
1013,630.38
1014,603.59
1015,663.6
1016,651.35
1017,582.88
1018,714.96
1019,674.86
1020,652.56
1021,647.07
1022,574.81
1023,728.26
1024,681.22
1025,688.69
1026,750.03
1027,632.53
1028,746.07
1029,692.7
1030,573.28
1031,608.32
1032,647.62
1033,677.33
1034,530.68
1035,624.47
1036,570.9
1037,628.55
1038,617.41
1039,544.7
1040,714.75
1041,687.8
1042,696.43
1043,724.16
1044,652.54
1045,571.02
1046,709.27
1047,634.57
1048,760.51
1049,584.22
1050,584.56
1051,613.33
1052,552.08
1053,677.67
1054,649.23
1055,566.98
1056,683.1
1057,584.15
1058,758.48
1059,708.12
1060,639.63
1061,845.67
1062,581.11
1063,662.69
1064,562.11
1065,586.51
1066,625.21
1067,625.67
1068,693.07
1069,705.89
1070,749.78
1071,576.51
1072,638.95
1073,566.24
1074,760
1075,678
1076,763.78
1077,737.74
1078,728.68
1079,736.38
1080,644.22
1081,650.52
1082,590.04
1083,750.88
1084,551.55
1085,627.83
1086,653.2
1087,586.01
1088,658.55
1089,637.43
1090,661.87
1091,479.34
1092,681.53
1093,612.97
1094,642.13
1095,662.68
1096,604.9
1097,714.48
1098,637.37
1099,723.68
1100,630.8
1101,639.99
1102,610.77
1103,583.59
1104,653.97
1105,674.32
1106,604.38
1107,506.95
1108,764.44
1109,718.28
1110,599.82
1111,626.11
1112,624.17
1113,625.48
1114,555.9
1115,732.43
1116,680.27
1117,683.03
1118,714.49
1119,687.28
1120,699.51
1121,549.76
1122,646.01
1123,629.47
1124,536.09
1125,708.07
1126,702.64
1127,630
1128,530.22
1129,621.48
1130,651.21
1131,651.45
1132,620.77
1133,704.25
1134,557.97
1135,768.25
1136,706.54
1137,692.68
1138,730.15
1139,757.4
1140,609.42
1141,794.63
1142,566.59
1143,632.94
1144,572.75
1145,617.16
1146,670.11
1147,553.04
1148,639.06
1149,647.74
1150,656.57
1151,679.96
1152,659.48
1153,680.36
1154,761.5
1155,548.27
1156,600.09
1157,752.44
1158,654.55
1159,659.61
1160,661.01
1161,672.76
1162,628.98
1163,646.42
1164,746.79
1165,641.58
1166,614.49
1167,607.13
1168,652.54
1169,653.74
1170,646.47
1171,699.3
1172,627.71
1173,621.23
1174,652.29
1175,706.72
1176,682.44
1177,634.05
1178,680.83
1179,588.29
1180,635.23
1181,666.4
1182,589.81
1183,671.25
1184,618.78
1185,672.32
1186,739.08
1187,538.66
1188,580.85
1189,649.62
1190,717.08
1191,634.69
1192,589.12
1193,640.91
1194,611.28
1195,599.45
1196,685.73
1197,555.96
1198,692.3
1199,707.34
1200,717.57
1201,712.36
1202,621.82
1203,677.82
1204,584.47
1205,685.57
1206,661.8
1207,647.55
1208,609.49
1209,724.47
1210,585.98
1211,740.91
1212,596.49
1213,626.27
1214,647.28
1215,692.86
1216,674.27
1217,562.09
1218,644.65
1219,657.19
1220,697.68
1221,724.16
1222,664.87
1223,856.77
1224,658.59
1225,596.56
1226,752.7
1227,635.27
1228,685.34
1229,710.62
1230,492.31
1231,564.54
1232,638.24
1233,637.33
1234,747.09
1235,669.92
1236,662.75
1237,673.85
1238,591.6
1239,656.93
1240,690.42
1241,580.61
1242,725.67
1243,656.29
1244,624.96
1245,577.45
1246,620.98
1247,609.92
1248,679.1
1249,680.09
1250,547.43
1251,519.54
1252,537.08
1253,639.68
1254,572.57
1255,666.75
1256,685.28
1257,633.61
1258,681.41
1259,753.35
1260,675.4
1261,743.8
1262,634.93
1263,593.33
1264,716.77
1265,634.8
1266,775.09
1267,621.07
1268,684.67
1269,609.21
1270,660.16
1271,614.33
1272,636.58
1273,649.26
